2011Zones,Bus Accessbility Count
Mearnskirk and South Kirkhill - 04,2.55
Mearnskirk and South Kirkhill - 05,6.7
Mearnskirk and South Kirkhill - 06,6.7
Mearnskirk and South Kirkhill - 07,6.97
Mearnskirk and South Kirkhill - 08,1.44
Eaglesham and Waterfoot - 01,6.9
Eaglesham and Waterfoot - 02,1.1
Eaglesham and Waterfoot - 03,3.2
Eaglesham and Waterfoot - 04,9.3
Eaglesham and Waterfoot - 05,1.37
Eaglesham and Waterfoot - 06,6.38
Eaglesham and Waterfoot - 07,1.62
North Kirkhill - 01,1.86
North Kirkhill - 02,5.3
North Kirkhill - 03,0.64
North Kirkhill - 04,1.41
Busby - 01,3.35
Busby - 02,8.22
Busby - 03,3.73
Busby - 04,21.37
Busby - 05,29.59
Clarkston and Sheddens - 01,4.69
Clarkston and Sheddens - 02,0
Clarkston and Sheddens - 03,2.85
Clarkston and Sheddens - 04,8.91
Clarkston and Sheddens - 05,2.11
Clarkston and Sheddens - 06,19.29
Clarkston and Sheddens - 07,23.35
Clarkston and Sheddens - 08,23.94
Williamwood - 01,0.43
Williamwood - 02,3.82
Williamwood - 03,3.56
Williamwood - 04,3.74
Williamwood - 05,10.43
Stamperland - 01,5.46
Stamperland - 02,23.66
Stamperland - 03,13.6
Stamperland - 04,0
Stamperland - 05,0
Netherlee - 01,19.4
Netherlee - 02,3.44
Netherlee - 03,17.72
Netherlee - 04,50.39
Netherlee - 05,33.69
Netherlee - 06,22.96
Merrylee and Braidbar - 01,0
Merrylee and Braidbar - 02,0
Merrylee and Braidbar - 03,1.95
Merrylee and Braidbar - 04,7.14
Merrylee and Braidbar - 05,22.28
Merrylee and Braidbar - 06,20.17
Merrylee and Braidbar - 07,13.72
Lower Whitecraigs and South Giffnock - 01,15.41
Lower Whitecraigs and South Giffnock - 02,1.3
Lower Whitecraigs and South Giffnock - 03,14.3
Lower Whitecraigs and South Giffnock - 04,20.56
North Giffnock and North Thornliebank - 01,51.86
North Giffnock and North Thornliebank - 02,44.1
North Giffnock and North Thornliebank - 03,30.73
North Giffnock and North Thornliebank - 04,18.65
North Giffnock and North Thornliebank - 05,58.96
South Thornliebank and Woodfarm - 01,9.55
South Thornliebank and Woodfarm - 02,20.75
South Thornliebank and Woodfarm - 03,5.66
South Thornliebank and Woodfarm - 05,26.1
South Thornliebank and Woodfarm - 06,24.67
Balerno and Bonnington Village - 01,5.04
Balerno and Bonnington Village - 02,13.35
Balerno and Bonnington Village - 04,8.54
Balerno and Bonnington Village - 05,12.37
Balerno and Bonnington Village - 06,10.65
Balerno and Bonnington Village - 07,5.53
Balerno and Bonnington Village - 08,7.9
Currie West - 01,4.15
Currie West - 02,9.75
Currie West - 03,0
Currie West - 04,23.09
Currie East - 01,18.89
Currie East - 02,31.19
Currie East - 03,7.31
Currie East - 04,13.73
Baberton and Juniper Green - 01,8.17
Baberton and Juniper Green - 02,11.6
Baberton and Juniper Green - 03,11.72
Baberton and Juniper Green - 04,40.02
Baberton and Juniper Green - 05,36.78
Bonaly and The Pentlands - 01,4.07
Bonaly and The Pentlands - 02,7.94
Bonaly and The Pentlands - 03,7.75
Bonaly and The Pentlands - 04,12.74
Bonaly and The Pentlands - 05,23.29
Bonaly and The Pentlands - 06,48.35
Colinton and Kingsknowe - 01,14.15
Colinton and Kingsknowe - 02,23.8
Colinton and Kingsknowe - 03,19.87
Colinton and Kingsknowe - 04,25.58
Colinton and Kingsknowe - 05,32.23
Clovenstone and Wester Hailes - 01,49.59
Clovenstone and Wester Hailes - 02,47.45
Clovenstone and Wester Hailes - 03,39.54
Clovenstone and Wester Hailes - 05,56.4
The Calders - 02,34.41
The Calders - 03,51.91
The Calders - 04,57.88
The Calders - 05,47.95
Murrayburn and Wester Hailes North - 01,64.53
Murrayburn and Wester Hailes North - 02,52.92
Murrayburn and Wester Hailes North - 03,46.76
Murrayburn and Wester Hailes North - 05,35.52
Parkhead and Sighthill - 01,113.48
Parkhead and Sighthill - 02,51.8
Parkhead and Sighthill - 03,59.52
Parkhead and Sighthill - 04,25.57
Broomhouse and Bankhead - 01,87.02
Broomhouse and Bankhead - 02,90.47
Broomhouse and Bankhead - 03,38.59
Broomhouse and Bankhead - 05,36.67
Stenhouse and Saughton Mains - 01,29.74
Stenhouse and Saughton Mains - 02,50.62
Stenhouse and Saughton Mains - 03,106.03
Stenhouse and Saughton Mains - 04,74.65
Stenhouse and Saughton Mains - 05,62.35
Stenhouse and Saughton Mains - 06,120.45
Stenhouse and Saughton Mains - 07,107.96
Stenhouse and Saughton Mains - 08,92.08
Longstone and Saughton - 01,127.06
Longstone and Saughton - 02,45.41
Longstone and Saughton - 03,6.67
Longstone and Saughton - 04,12.77
Longstone and Saughton - 05,17.62
Slateford and Chesser - 01,56.98
Slateford and Chesser - 02,37.17
Slateford and Chesser - 03,95.86
Slateford and Chesser - 04,101.36
Slateford and Chesser - 05,81.48
Slateford and Chesser - 06,73.49
Gorgie West - 01,67.9
Gorgie West - 02,133.58
Gorgie West - 03,134.2
Gorgie West - 04,124.58
Gorgie West - 05,135.71
Gorgie East - 01,133.49
Gorgie East - 02,200.84
Gorgie East - 03,184.34
Gorgie East - 04,91.55
Gorgie East - 05,98.86
Shandon - 01,110.36
Shandon - 02,77.75
Shandon - 03,27.13
Shandon - 04,28.55
Shandon - 05,42.32
Shandon - 06,72.2
Craiglockhart - 01,30.06
Craiglockhart - 02,39.51
Craiglockhart - 03,34.17
Craiglockhart - 04,61.93
Craiglockhart - 05,16.44
Craiglockhart - 06,27.57
Morningside and Craighouse - 01,36.61
Morningside and Craighouse - 02,52.44
Morningside and Craighouse - 03,45.99
Morningside and Craighouse - 04,137.78
Morningside and Craighouse - 05,86.84
Greenbank and The Braids - 01,68.74
Greenbank and The Braids - 02,36.19
Greenbank and The Braids - 03,44.52
Greenbank and The Braids - 04,40.1
Greenbank and The Braids - 05,19.27
Colinton Mains and Firrhill - 01,33.8
Colinton Mains and Firrhill - 02,44.12
Colinton Mains and Firrhill - 03,35.26
Colinton Mains and Firrhill - 04,46.78
Colinton Mains and Firrhill - 05,18.19
Oxgangs - 01,86.58
Oxgangs - 02,129.53
Oxgangs - 03,56.65
Oxgangs - 04,103.52
Comiston and Swanston - 02,13.98
Comiston and Swanston - 03,35.85
Comiston and Swanston - 04,41.19
Comiston and Swanston - 05,8.69
Comiston and Swanston - 06,32.57
Comiston and Swanston - 07,15.07
Comiston and Swanston - 08,30.01
Fairmilehead - 01,2.87
Fairmilehead - 02,18.66
Fairmilehead - 03,0
Fairmilehead - 04,0
Fairmilehead - 05,28.37
Fairmilehead - 06,19.94
Gilmerton South and the Murrays - 01,11.07
Gilmerton South and the Murrays - 02,13.36
Gilmerton South and the Murrays - 03,28.09
Mortonhall and Anwickhill - 01,0
Mortonhall and Anwickhill - 02,20.9
Mortonhall and Anwickhill - 03,58.55
"Gracemount, Southhouse and Burdiehouse - 01",62.94
"Gracemount, Southhouse and Burdiehouse - 02",14.45
"Gracemount, Southhouse and Burdiehouse - 03",21.61
"Gracemount, Southhouse and Burdiehouse - 04",6.62
"Gracemount, Southhouse and Burdiehouse - 05",39.79
"Gracemount, Southhouse and Burdiehouse - 06",35.15
Hyvots and Gilmerton - 01,48.82
Hyvots and Gilmerton - 02,67.75
Hyvots and Gilmerton - 03,26.98
Hyvots and Gilmerton - 04,37.17
Hyvots and Gilmerton - 05,71.43
Fernieside and Moredun South - 01,42.11
Fernieside and Moredun South - 02,28.05
Fernieside and Moredun South - 03,23.61
Fernieside and Moredun South - 04,15.7
Fernieside and Moredun South - 05,31.53
Moredun and Craigour - 02,20.64
Moredun and Craigour - 03,29.59
Moredun and Craigour - 04,38.87
Liberton East - 01,38.96
Liberton East - 02,12.25
Liberton East - 03,15.35
Liberton East - 04,41.61
Liberton West and Braid Hills - 01,58.44
Liberton West and Braid Hills - 02,78.92
Liberton West and Braid Hills - 03,14.53
Liberton West and Braid Hills - 04,28.4
The Inch - 01,29.13
The Inch - 02,35.63
The Inch - 03,40.59
The Inch - 04,22.64
The Inch - 05,30.25
The Inch - 06,20.87
"Blackford, West Mains and Mayfield Road - 01",115.48
"Blackford, West Mains and Mayfield Road - 02",42.34
"Blackford, West Mains and Mayfield Road - 03",4.81
"Blackford, West Mains and Mayfield Road - 04",23.17
"Blackford, West Mains and Mayfield Road - 05",28.09
"Blackford, West Mains and Mayfield Road - 06",22.69
"Blackford, West Mains and Mayfield Road - 07",135.44
"Blackford, West Mains and Mayfield Road - 08",176.14
Prestonfield - 01,41.55
Prestonfield - 02,77.96
Prestonfield - 03,27.04
Prestonfield - 04,95.59
Newington and Dalkeith Road - 01,133.78
Newington and Dalkeith Road - 02,192.29
Newington and Dalkeith Road - 03,87.38
Newington and Dalkeith Road - 04,31.92
Newington and Dalkeith Road - 05,203.42
The Grange - 01,185.48
The Grange - 02,74.52
The Grange - 03,47.07
The Grange - 04,21.88
The Grange - 05,31.12
The Grange - 06,28.39
The Grange - 07,53.66
Marchmont East and Sciennes - 01,109.32
Marchmont East and Sciennes - 02,121.97
Marchmont East and Sciennes - 03,34.75
Marchmont East and Sciennes - 04,35.38
Marchmont East and Sciennes - 05,41.82
Marchmont East and Sciennes - 06,62.04
Marchmont West - 01,44.06
Marchmont West - 02,50.81
Marchmont West - 03,7.47
Marchmont West - 04,36.14
Marchmont West - 05,17.64
Marchmont West - 06,36.21
Marchmont West - 07,26.2
Morningside - 01,17.73
Morningside - 02,9.07
Morningside - 03,102.14
Morningside - 04,56.37
Morningside - 05,33.13
Morningside - 06,71.96
Morningside - 07,144.96
Morningside - 08,137.8
Merchiston and Greenhill - 01,52.33
Merchiston and Greenhill - 02,25.79
Merchiston and Greenhill - 03,39.11
Merchiston and Greenhill - 04,74.7
Merchiston and Greenhill - 05,120.47
Merchiston and Greenhill - 06,86.54
Bruntsfield - 01,139.68
Bruntsfield - 02,68.37
Bruntsfield - 03,114.65
Bruntsfield - 04,141.46
Bruntsfield - 05,120.07
Bruntsfield - 06,66.35
Bruntsfield - 07,79.49
Polwarth - 01,74.39
Polwarth - 02,49.31
Polwarth - 03,140.61
Polwarth - 04,194.04
Polwarth - 05,72.36
Polwarth - 06,71.96
Dalry and Fountainbridge - 01,124.4
Dalry and Fountainbridge - 02,105.54
Dalry and Fountainbridge - 03,144.52
Dalry and Fountainbridge - 04,163.83
Dalry and Fountainbridge - 05,121.97
Dalry and Fountainbridge - 06,123.94
Dalry and Fountainbridge - 07,172.11
Dalry and Fountainbridge - 08,79.08
Tollcross - 01,206.09
Tollcross - 02,282.81
Tollcross - 03,173.67
Tollcross - 04,300.39
Tollcross - 05,238.82
Tollcross - 06,240.63
Tollcross - 07,238.96
Meadows and Southside - 01,196.94
Meadows and Southside - 02,105.45
Meadows and Southside - 03,270.66
Meadows and Southside - 04,301.47
Meadows and Southside - 05,290.6
Meadows and Southside - 06,280.64
Meadows and Southside - 07,267.3
Meadows and Southside - 08,189.61
"Old Town, Princes Street and Leith Street - 01",160.69
"Old Town, Princes Street and Leith Street - 02",90.2
"Old Town, Princes Street and Leith Street - 03",282.01
"Old Town, Princes Street and Leith Street - 04",239.14
"Old Town, Princes Street and Leith Street - 05",220.22
"Old Town, Princes Street and Leith Street - 06",189.89
"Canongate, Southside and Dumbiedykes - 01",304.23
"Canongate, Southside and Dumbiedykes - 02",251.48
"Canongate, Southside and Dumbiedykes - 03",111.1
"Canongate, Southside and Dumbiedykes - 04",133.97
"Canongate, Southside and Dumbiedykes - 05",16.6
"Canongate, Southside and Dumbiedykes - 06",40.61
Abbeyhill - 01,156.49
Abbeyhill - 02,11.6
Abbeyhill - 03,81.55
Meadowbank and Abbeyhill North - 01,183.86
Meadowbank and Abbeyhill North - 02,183.79
Meadowbank and Abbeyhill North - 03,149.4
Meadowbank and Abbeyhill North - 04,95.97
Meadowbank and Abbeyhill North - 05,48.52
Willowbrae and Duddingston Village - 01,135.93
Willowbrae and Duddingston Village - 02,173.66
Willowbrae and Duddingston Village - 03,111.96
Willowbrae and Duddingston Village - 04,49.38
Willowbrae and Duddingston Village - 05,78.05
Willowbrae and Duddingston Village - 06,14.44
Willowbrae and Duddingston Village - 07,13.86
Craigmillar - 01,20.01
Craigmillar - 02,59.46
Craigmillar - 04,54.1
Craigmillar - 05,59.05
Niddrie - 04,35.81
Niddrie - 05,59.78
"Bingham, Magdalene and The Christians - 01",43.77
"Bingham, Magdalene and The Christians - 02",38.49
"Bingham, Magdalene and The Christians - 03",66.02
"Bingham, Magdalene and The Christians - 04",31.04
"Bingham, Magdalene and The Christians - 05",33.45
"Jewel, Brunstane and Newcraighall - 01",75.39
"Jewel, Brunstane and Newcraighall - 02",86.08
"Jewel, Brunstane and Newcraighall - 03",37.95
"Jewel, Brunstane and Newcraighall - 04",30.87
"Jewel, Brunstane and Newcraighall - 05",0
Joppa - 01,69.56
Joppa - 02,17.2
Joppa - 03,30.46
Joppa - 04,52.04
Joppa - 05,53.87
Joppa - 06,63.66
Portobello - 01,64.92
Portobello - 02,98.24
Portobello - 03,67.24
Portobello - 04,83.39
Portobello - 05,106.91
Portobello - 06,83.77
Duddingston and Portobello South - 01,33.47
Duddingston and Portobello South - 02,47.66
Duddingston and Portobello South - 03,73.18
Duddingston and Portobello South - 04,37.07
Duddingston and Portobello South - 05,25.87
Mountcastle - 01,17.51
Mountcastle - 02,14.74
Mountcastle - 03,24.91
Mountcastle - 04,77.27
Northfield and Piershill - 01,66.98
Northfield and Piershill - 02,73.43
Northfield and Piershill - 03,99.49
Northfield and Piershill - 04,138.97
Craigentinny - 01,79.39
Craigentinny - 02,69.14
Craigentinny - 03,54.55
Craigentinny - 04,85.37
Restalrig (Loganlea) and Craigentinny West - 01,34.35
Restalrig (Loganlea) and Craigentinny West - 02,88.67
Restalrig (Loganlea) and Craigentinny West - 03,112.54
Restalrig (Loganlea) and Craigentinny West - 04,56.41
Restalrig (Loganlea) and Craigentinny West - 05,37.98
Restalrig and Lochend - 01,110.51
Restalrig and Lochend - 02,85.52
Restalrig and Lochend - 03,113.72
Restalrig and Lochend - 04,72.72
Restalrig and Lochend - 05,65.83
Restalrig and Lochend - 06,44.11
Leith (Hermitage and Prospect Bank) - 01,39.84
Leith (Hermitage and Prospect Bank) - 02,33.65
Leith (Hermitage and Prospect Bank) - 03,65.89
Leith (Hermitage and Prospect Bank) - 04,69.44
Leith (Hermitage and Prospect Bank) - 05,40.73
Leith (Hermitage and Prospect Bank) - 06,2.71
Western Harbour and Leith Docks - 01,14.11
Western Harbour and Leith Docks - 02,176.59
Western Harbour and Leith Docks - 03,5.42
Western Harbour and Leith Docks - 04,56.28
North Leith and Newhaven - 01,107.3
North Leith and Newhaven - 02,97.82
North Leith and Newhaven - 03,124.44
North Leith and Newhaven - 04,94.88
North Leith and Newhaven - 05,185.25
North Leith and Newhaven - 06,201.6
The Shore and Constitution Street - 01,127.76
The Shore and Constitution Street - 02,37.73
The Shore and Constitution Street - 03,52.74
The Shore and Constitution Street - 04,19.23
The Shore and Constitution Street - 05,110.78
The Shore and Constitution Street - 06,117.48
The Shore and Constitution Street - 07,117.38
Great Junction Street - 01,197.69
Great Junction Street - 02,282.78
Great Junction Street - 04,201.09
Great Junction Street - 05,113.86
Great Junction Street - 06,296.89
Great Junction Street - 07,127.91
South Leith - 01,122.78
South Leith - 02,298.44
South Leith - 03,100.45
South Leith - 04,71.04
South Leith - 05,149.05
South Leith - 06,205.66
Easter Road and Hawkhill Avenue - 01,88.52
Easter Road and Hawkhill Avenue - 02,26.64
Easter Road and Hawkhill Avenue - 03,15.59
Easter Road and Hawkhill Avenue - 04,34.6
Leith (Albert Street) - 01,54.04
Leith (Albert Street) - 02,209.94
Leith (Albert Street) - 03,165.64
Leith (Albert Street) - 04,174.4
Hillside and Calton Hill - 01,99.71
Hillside and Calton Hill - 02,83.26
Hillside and Calton Hill - 03,175.53
Hillside and Calton Hill - 04,162.87
Hillside and Calton Hill - 05,193.03
Hillside and Calton Hill - 06,263.1
Hillside and Calton Hill - 07,305.2
Pilrig - 01,107.71
Pilrig - 02,217.22
Pilrig - 03,141.07
Pilrig - 04,19.8
Bonnington - 01,57.16
Bonnington - 02,36.08
Bonnington - 03,64.78
Bonnington - 04,104.91
Trinity East and The Dudleys - 01,81.92
Trinity East and The Dudleys - 02,50.03
Trinity East and The Dudleys - 03,62.56
Trinity East and The Dudleys - 04,24.38
Trinity East and The Dudleys - 05,49.34
Trinity - 01,30.7
Trinity - 02,29.38
Trinity - 03,46
Trinity - 04,64.36
Trinity - 05,63.7
Trinity - 06,30.88
"Inverleith, Goldenacre and Warriston - 01",14.06
"Inverleith, Goldenacre and Warriston - 02",125.62
"Inverleith, Goldenacre and Warriston - 03",93.74
"Inverleith, Goldenacre and Warriston - 04",26.86
Broughton North and Powderhall - 01,18.19
Broughton North and Powderhall - 02,19.71
Broughton North and Powderhall - 03,54.28
Broughton North and Powderhall - 04,28.88
Broughton South - 01,12.62
Broughton South - 02,16.2
Broughton South - 03,25.55
Broughton South - 04,104.19
Broughton South - 05,6.69
New Town East and Gayfield - 01,152.39
New Town East and Gayfield - 02,68.71
New Town East and Gayfield - 03,90.89
New Town East and Gayfield - 04,60.9
New Town West - 01,120.39
New Town West - 02,110.52
New Town West - 03,64.76
New Town West - 04,71.55
Canonmills and New Town North - 01,45.33
Canonmills and New Town North - 02,77.81
Canonmills and New Town North - 03,105.65
Canonmills and New Town North - 04,103.78
Stockbridge - 01,44.72
Stockbridge - 02,25.01
Stockbridge - 03,64.46
Stockbridge - 04,62.97
Stockbridge - 05,59.96
Stockbridge - 06,45.94
Stockbridge - 07,42.4
Comely Bank - 01,27.18
Comely Bank - 02,59.44
Comely Bank - 03,49.45
Comely Bank - 04,106.24
Deans Village - 01,262.53
Deans Village - 02,56.79
Deans Village - 03,13.12
Deans Village - 04,108.13
Deans Village - 05,128.46
Deans Village - 06,56.87
Deans Village - 07,57.42
Balgreen and Roseburn - 01,59.81
Balgreen and Roseburn - 02,63.06
Balgreen and Roseburn - 03,92.56
Balgreen and Roseburn - 04,31.95
Balgreen and Roseburn - 05,7.8
Balgreen and Roseburn - 06,42.49
Murrayfield and Ravelston - 01,96.31
Murrayfield and Ravelston - 02,70.4
Murrayfield and Ravelston - 03,23.62
Murrayfield and Ravelston - 04,29.05
Murrayfield and Ravelston - 05,34.68
"Craigleith, Orchard Brae and Crewe Toll - 01",30.51
"Craigleith, Orchard Brae and Crewe Toll - 02",46.07
"Craigleith, Orchard Brae and Crewe Toll - 03",14.53
"Craigleith, Orchard Brae and Crewe Toll - 04",74.22
"Craigleith, Orchard Brae and Crewe Toll - 05",30.43
"Craigleith, Orchard Brae and Crewe Toll - 06",22.44
Blackhall - 01,37.97
Blackhall - 02,47.83
Blackhall - 03,12.44
Blackhall - 04,13.13
Blackhall - 05,5.21
Blackhall - 06,41.3
Blackhall - 07,41.12
Drylaw - 01,21.18
Drylaw - 02,21.05
Drylaw - 03,18.11
Drylaw - 04,30.62
Drylaw - 05,61.65
West Pilton - 01,77.03
West Pilton - 02,84.29
West Pilton - 03,26.26
West Pilton - 04,4.73
West Pilton - 05,89.13
Boswall and Pilton - 01,52.48
Boswall and Pilton - 02,25.6
Boswall and Pilton - 03,4.54
Boswall and Pilton - 04,19.55
Boswall and Pilton - 05,29.22
Boswall and Pilton - 06,33.8
Boswall and Pilton - 07,61.09
Granton South and Wardieburn - 01,59.12
Granton South and Wardieburn - 02,82.05
Granton and Royston Mains - 01,38.53
Granton and Royston Mains - 02,103.1
Granton and Royston Mains - 03,81.8
Granton and Royston Mains - 04,135.03
Granton West and Salvesen - 02,14.86
Granton West and Salvesen - 03,144.45
Granton West and Salvesen - 04,85.37
Granton West and Salvesen - 05,84.3
Muirhouse - 04,22.71
Muirhouse - 05,4.38
Muirhouse - 06,44.93
Silverknowes and Davidson's Mains - 01,17.28
Silverknowes and Davidson's Mains - 02,27.76
Silverknowes and Davidson's Mains - 03,51.25
Silverknowes and Davidson's Mains - 04,16.09
Silverknowes and Davidson's Mains - 05,41.74
Silverknowes and Davidson's Mains - 06,9.51
Cramond - 01,12.43
Cramond - 02,18.73
Cramond - 03,10.6
"Barnton, Cammo and Cramond South - 01",6.34
"Barnton, Cammo and Cramond South - 02",3.58
"Barnton, Cammo and Cramond South - 03",25.96
"Barnton, Cammo and Cramond South - 04",3.2
Clermiston and Drumbrae - 01,20.98
Clermiston and Drumbrae - 02,10.48
Clermiston and Drumbrae - 03,56.14
Clermiston and Drumbrae - 04,46.83
Clermiston and Drumbrae - 05,21.46
Clermiston and Drumbrae - 06,62.76
Clermiston and Drumbrae - 07,51.02
East Craigs North - 01,9.87
East Craigs North - 02,14.23
East Craigs North - 03,24.61
East Craigs North - 04,29.77
East Craigs North - 05,28.94
East Craigs South - 01,12.05
East Craigs South - 02,13.66
East Craigs South - 03,1.44
East Craigs South - 04,28.37
East Craigs South - 05,53.19
East Craigs South - 06,38.78
East Craigs South - 07,47.12
Corstorphine North - 01,67.9
Corstorphine North - 02,2.75
Corstorphine North - 03,28.87
Corstorphine - 01,53.39
Corstorphine - 02,2.07
Corstorphine - 03,38.97
Corstorphine - 04,78.21
Corstorphine - 05,120.22
Corstorphine - 06,42.76
Corstorphine - 07,11.42
Carrick Knowe - 01,27.7
Carrick Knowe - 02,0
Carrick Knowe - 03,6.58
Carrick Knowe - 04,8.55
Corstorphine South - 01,7.96
Corstorphine South - 02,14.91
Corstorphine South - 03,12.36
Corstorphine South - 04,0.91
Corstorphine South - 05,13.42
Corstorphine South - 06,19.27
South Gyle - 01,22.6
South Gyle - 02,32.36
South Gyle - 03,23.47
South Gyle - 04,41.3
South Gyle - 05,13.19
South Gyle - 06,41.93
"Ratho, Ingliston and Gogar - 01",19.66
"Ratho, Ingliston and Gogar - 02",10.63
"Ratho, Ingliston and Gogar - 03",4.51
"Ratho, Ingliston and Gogar - 04",13.9
"Dalmeny, Kirkliston and Newbridge - 01",14.3
"Dalmeny, Kirkliston and Newbridge - 02",8.34
"Dalmeny, Kirkliston and Newbridge - 03",34.22
"Dalmeny, Kirkliston and Newbridge - 04",16.28
"Dalmeny, Kirkliston and Newbridge - 05",10.65
"Dalmeny, Kirkliston and Newbridge - 06",3.45
Queensferry East - 01,11.42
Queensferry East - 02,24.58
Queensferry East - 03,24.37
Queensferry East - 04,18.48
Queensferry East - 05,7.73
Queensferry East - 06,14.03
Queensferry West - 01,12.62
Queensferry West - 02,12.16
Queensferry West - 03,17.44
Queensferry West - 04,17.1
Queensferry West - 05,8.88
Barra and South Uist - 01,1.41
Barra and South Uist - 02,0.75
Benbecula and North Uist - 02,2.1
Benbecula and North Uist - 03,0.37
Benbecula and North Uist - 04,1.39
Harris - 01,0.46
Harris - 02,0.52
South Lewis - 01,0.25
South Lewis - 02,1.42
South Lewis - 03,0.18
Northwest Lewis - 01,0.7
Northwest Lewis - 02,0.58
Northwest Lewis - 04,1.01
Northwest Lewis - 05,2.24
Northwest Lewis - 06,1.31
Broadbay - 01,3.21
Broadbay - 02,1.89
Broadbay - 03,2.36
Broadbay - 04,2.67
Stornoway West - 01,2.93
Stornoway West - 02,8.28
Stornoway West - 03,9.77
Stornoway West - 04,8.91
Stornoway East - 01,2.35
Stornoway East - 02,6.02
Stornoway East - 03,2.26
Stornoway East - 04,4.9
Point - 01,3.63
Point - 02,1.41
Point - 03,1.62
Point - 04,1.02
Dunipace - 01,18.16
Dunipace - 02,16.58
Dunipace - 03,35.34
Dunipace - 05,22.54
"Fankerton, Stoneywood and Denny Town - 01",6.38
"Fankerton, Stoneywood and Denny Town - 02",53.98
"Fankerton, Stoneywood and Denny Town - 04",46.95
"Fankerton, Stoneywood and Denny Town - 05",9.53
"Fankerton, Stoneywood and Denny Town - 06",2.32
Denny - Nethermains - 01,19.86
Denny - Nethermains - 02,19.2
Denny - Nethermains - 03,32.87
Denny - Nethermains - 04,33.62
Denny - Nethermains - 05,2.14
Denny - Nethermains - 06,3.12
Head of Muir and Dennyloanhead - 01,26.59
Head of Muir and Dennyloanhead - 02,32.72
Head of Muir and Dennyloanhead - 03,0
Head of Muir and Dennyloanhead - 04,20.17
"Banknock, Haggs and Longcroft - 02",19.19
"Banknock, Haggs and Longcroft - 03",7.57
"Banknock, Haggs and Longcroft - 04",2.11
"Banknock, Haggs and Longcroft - 05",8.35
"Banknock, Haggs and Longcroft - 06",0.61
Bonnybridge - 01,14.12
Bonnybridge - 02,35.08
Bonnybridge - 03,42.84
Bonnybridge - 04,36.01
Bonnybridge - 05,26.44
Bonnybridge - 06,25.58
High Bonnybridge and Greenhill - 01,12.26
High Bonnybridge and Greenhill - 02,0
High Bonnybridge and Greenhill - 03,11.96
High Bonnybridge and Greenhill - 04,13.84
High Bonnybridge and Greenhill - 05,18.53
Larbert - North Broomage and Inches - 01,55.01
Larbert - North Broomage and Inches - 02,14.28
Larbert - North Broomage and Inches - 03,7.41
Larbert - North Broomage and Inches - 04,17.82
Larbert - North Broomage and Inches - 05,13.44
Larbert - North Broomage and Inches - 06,22.98
Larbert - South Broomage and Village - 01,2.87
Larbert - South Broomage and Village - 02,32.16
Larbert - South Broomage and Village - 03,23.23
Larbert - South Broomage and Village - 04,17.88
Larbert - South Broomage and Village - 05,0
Stenhousemuir West - 01,39.45
Stenhousemuir West - 02,43.51
Stenhousemuir West - 03,2.27
Stenhousemuir West - 04,1.65
Stenhousemuir East - 01,2.43
Stenhousemuir East - 02,19.88
Stenhousemuir East - 03,25.78
Stenhousemuir East - 04,28.14
Stenhousemuir East - 05,2.66
Stenhousemuir - Antonshill - 01,9.22
Stenhousemuir - Antonshill - 02,13.51
Stenhousemuir - Antonshill - 03,8.66
Stenhousemuir - Antonshill - 04,9.78
Stenhousemuir - Antonshill - 05,5.85
Carron - 01,4.54
Carron - 02,19.96
Carron - 03,20.55
Carron - 04,6.62
Carronshore - 01,8.83
Carronshore - 02,14.52
Carronshore - 04,16.73
Carse and Grangemouth Old Town - 01,17.23
Carse and Grangemouth Old Town - 02,2.23
Carse and Grangemouth Old Town - 03,1.66
Carse and Grangemouth Old Town - 04,2.49
Carse and Grangemouth Old Town - 05,3.7
Falkirk - Bainsford and Langlees - 03,67.52
Falkirk - Bainsford and Langlees - 05,27.13
Falkirk - Bainsford and Langlees - 06,53.25
Falkirk - Merchiston and New Carron Village - 01,17
Falkirk - Merchiston and New Carron Village - 02,28.73
Falkirk - Merchiston and New Carron Village - 03,36.14
Falkirk - Merchiston and New Carron Village - 04,23.71
Falkirk - Merchiston and New Carron Village - 05,7.84
Falkirk - Merchiston and New Carron Village - 06,0
Falkirk - Grahamston - 01,59.98
Falkirk - Grahamston - 02,10.98
Falkirk - Grahamston - 03,71.32
Falkirk - Grahamston - 04,49.21
Falkirk - Grahamston - 05,39.63
Falkirk - Middlefield - 01,5.4
Falkirk - Middlefield - 02,1.41
Falkirk - Middlefield - 03,4.71
Falkirk - Middlefield - 04,23.04
Falkirk - Middlefield - 05,32.54
Falkirk - Middlefield - 06,2.64
Falkirk - Town Centre and Callendar Park - 01,34.28
Falkirk - Town Centre and Callendar Park - 02,21.85
Falkirk - Town Centre and Callendar Park - 03,58.58
Falkirk - Town Centre and Callendar Park - 04,29.02
Falkirk - Town Centre and Callendar Park - 05,186.43
Falkirk - Bantaskin - 01,80.56
Falkirk - Bantaskin - 02,98.63
Falkirk - Bantaskin - 03,34.92
Falkirk - Bantaskin - 04,42.28
Falkirk - Bantaskin - 05,16.22
Falkirk - Camelon East - 02,69.47
Falkirk - Camelon East - 03,60.26
Falkirk - Camelon East - 04,55.73
Falkirk - Camelon East - 05,19.85
Falkirk - Camelon West - 02,34.85
Falkirk - Camelon West - 03,25.37
Falkirk - Camelon West - 04,19.25
